iter	Passed	Remaining
353	13466	5553
354	13505	5516
355	13541	5477
356	13578	5438
357	13618	5401
358	13656	5363
359	13693	5325
360	13729	5286
361	13768	5248
362	13804	5209
363	13841	5171
364	13877	5132
365	13915	5094
366	13950	5055
367	13985	5016
368	14020	4977
369	14058	4939
370	14093	4900
371	14129	4861
372	14166	4823
373	14203	4785
374	14240	4746
375	14276	4708
376	14313	4669
377	14349	4631
378	14386	4592
379	14423	4554
380	14461	4516
381	14496	4478
382	14534	4439
383	14569	4401
384	14608	4363
385	14643	4324
386	14680	4286
387	14716	4247
388	14754	4210
389	14790	4171
390	14830	4134
391	14867	4096
392	14904	4058
393	14942	4020
394	14977	3981
395	15012	3942
396	15049	3904
397	15086	3866
398	15122	3827
399	15159	3789
400	15196	3751
401	15232	3713
402	15270	3675
403	15306	3637
404	15341	3598
405	15377	3560
406	15412	3521
407	15449	3483
408	15485	3445
409	15523	3407
410	15558	3369
411	15596	3331
412	15638	3294
413	15679	3257
414	15720	3219
415	15760	3182
416	15797	3144
417	15834	3106
418	15871	3068
419	15908	3030
420	15944	2992
421	15981	2954
422	16018	2915
423	16057	2878
424	16093	2840
425	16129	2801
426	16166	2763
427	16203	2725
428	16238	2687
429	16275	2649
430	16315	2611
431	16350	2573
432	16386	2535
433	16423	2497
434	16459	2459
435	16497	2421
436	16533	2383
437	16571	2345
438	16608	2307
439	16646	2269
440	16681	2231
441	16718	2193
442	16754	2155
443	16791	2117
444	16825	2079
445	16866	2042
446	16904	2004
447	16941	1966
448	16977	1928
449	17015	1890
450	17057	1853
451	17101	1816
452	17147	1779
453	17192	1741
454	17233	1704
455	17275	1666
456	17317	1629
457	17360	1592
458	17401	1554
459	17439	1516
460	17476	1478
461	17549	1443
462	17596	1406
463	17633	1368
464	17669	1329
465	17706	1291
466	17743	1253
467	17779	1215
468	17814	1177
469	17854	1139
470	17899	1102
471	17940	1064
472	17978	1026
473	18014	988
474	18052	950
475	18089	912
476	18125	873
477	18162	835
478	18199	797
479	18236	759
480	18273	721
481	18309	683
482	18347	645
483	18384	607
484	18420	569
485	18459	531
486	18495	493
487	18530	455
488	18568	417
489	18606	379
490	18641	341
491	18677	303
492	18714	265
493	18750	227
494	18786	189
495	18823	151
496	18864	113
497	18901	75
498	18938	37
499	18974	0
